author_id,cluster
FFEF1081D4828D2,10
54DADC9ED7C329A,5
54CCD63D01E388D,13
54CC11D3FF9ACDE,13
54CB8C6E3EE75D6,46
54C51219484360C,3
54BE32FB01B5FCA,19
54BE31FCDB804CE,43
54B819F07148235,53
54AC69E46D2391A,15
54AA5A30C3E6247,53
549F509C18BB94F,28
5493DCFB5A1E9F8,1
5491213520316F2,7
548D50C174EA7F6,47
548B6D339602E8A,11
5489A7E71CDF265,33
54869C27384CC1E,30
547E1117A5E3481,16
547B40CD378CA44,12
5476C5A438F9FB6,24
54D19BA9F622096,47
54DD3789227D398,47
546A9AEABC34F09,3
54DFB3C9B78B404,10
554247E47EC1B87,19
5542338B5461A97,13
553DE7DE520373A,54
5539B3DC5212BC0,44
5529B93F51E13E1,6
552950AE586CDE0,45
5528C786E06D0BF,53
5524C7342764F71,40
5523554BEEE30D4,31
55222F2AF66C5EB,32
5519B47278D04CD,24
5516ABF5E617E72,10
55129CAAAC62A17,33
550B4C71B8E8730,13
5505D054719555A,20
54EA688942A76CC,48
54E9ABB37FCAFB5,24
54E4B256C7A62D7,57
54E1FA637A23581,41
5475372E064D061,3
5466A22E36A16CB,49
5EBFF6F5E9ABDDD,43
53F119DBC4466C0,53
53E921BC477057E,21
53D981B673FED19,7
53CC2791BFA450B,48
53C7DEB0889C9DE,45
53C3E9A69CDFFEF,47
53BDA3E840A27DD,35
53BADB2932C858B,5
53AD7741E400CD0,32
53AB7F6BFB91A28,30
53A9DF3EDD9D864,5
53A9A7D6934B598,33
53A4C6F442F3FF3,54
53A3E1002F09A81,46
53A1FBDD19E3AC0,33
539E1F1BACBFCFC,41
5396DF43CBDA6F5,35
538D9AEC54E7B06,33
538148D787103B4,33
537A39955BC5832,33
53EEFD58450DA59,23
53F32DDF682317B,33
546029948CED42A,28
53F36FBDFD00FA9,59
5457505D0FC9D70,5
54513D3705EA9B7,55
54506EC095656D4,42
544DAAD4E7CBDDD,36
5448754B37CC704,33
5445F2F3CF20473,24
54440FF6A29476B,10
54433E8A285387C,35
543C1768071A496,13
54303D9B1E766CE,40
542F845FCC0F881,27
542D30E53F17D40,12
5425E813457E7C6,33
541A815284E3331,7
541A2A3AABE9B38,20
5419003AE6B2442,52
54052D3D94EB107,14
53FA582E39B9B9A,33
53F4BB9E19CDEF2,38
554254F4DD1FF30,58
5544D72DA19D6D9,33
55593FE41A413CC,21
568CC4AC592A69F,9
567388C805BB6ED,1
567364C89C7BE6A,53
567337571FFC056,16
566D16C02EAAFBC,54
566D0E22D715600,15
566B1C47E97C189,33
566814358EED718,12
5667F55BF084CB3,5
566562FC28983F1,35
565BB27618F6B07,11
565AF7C953F18EA,33
5655A90E0D02A78,53
56539453DC46BBB,13
5651E136B388CD3,42
564B1E9E0C754DE,20
564B1427CC4EEEF,33
56468337E6C1AF8,7
563D6869D4E6F3B,43
56357011AECACD3,48
5674FB2AD3F75EC,38
569117E8C50064F,28
555BCA8662ECA9C,33
569834D61A42C74,53
56F5B0BFBFC324A,10
56F41E06094C812,1
56F38EB5E92DB71,57
56EF7D656CFFBBC,19
56E4A5448A76547,16
56E22569E0D3594,33
56DC35BFBACEDC8,33
56D733FD114692D,27
56D2EFD3CFEF2B9,11
56D1CF86512657A,21
56D14BCCDBD1C0D,59
56C742ACED74A69,46
56C4F1BD0957902,45
56BAF932CFE6168,27
56B78E8A30F2412,13
56A53FAEE011A12,40
56A05EEC5EDDADB,13
569C198AE3FB6F7,40
569A2E36BD4931B,27
56350B773107B0C,20
562E0FA0BB25BD9,33
562D47137061948,20
5629A7A69289810,59
55AE0C0E36E5E51,33
55A8E8BFDB883F7,31
55A1C020754CC72,24
55A075E5A60A54C,33
559A0FFB89B74CD,33
5599B31FEFCC098,59
5597206F8BCEBEB,50
55858455EFD6280,50
5583E5E48CA7AE0,47
55817D25060A566,33
557BFBB5D275F98,3
5579974D796F810,44
55779A202F0FC3A,2
5576E7A240E784F,50
5574EAF42E35CA4,31
556ECA85F170923,43
556D96822176219,12
556AEC38E25CE2E,33
5569FD1287ECE5F,13
55B548C376F4F95,59
55C461386288827,13
55CB5C06D03D0BF,33
560E9FD404665E6,9
562511C83C4EC5C,33
56206E8F39714A9,19
561C908564943D6,26
561C73D0FB3CE73,33
561A2043C3D06DB,34
5614AED3C82F196,28
561486AD3DF4E8C,34
