author_id,cluster
FFF559CD2875885,20
5576E7A240E784F,8
54CC11D3FF9ACDE,3
54CCD63D01E388D,3
54D19BA9F622096,25
54D983C21656F18,25
54DADC9ED7C329A,43
54DD3789227D398,40
54DFB3C9B78B404,49
54E1FA637A23581,50
54E3058E1E33254,52
54E4B256C7A62D7,26
54E9ABB37FCAFB5,29
54EA688942A76CC,11
54EE5370FEE09C4,0
54F6ED0F697E3CB,0
5500085C4C38AEF,41
54CB8C6E3EE75D6,25
54C6EBDED081E84,5
54C51219484360C,22
54959D0B10A117D,28
548B6D339602E8A,12
548BA26947F85BB,46
548D50C174EA7F6,40
5491213520316F2,4
5493ADCC0D0F9E3,18
5493DCFB5A1E9F8,13
549F509C18BB94F,39
54BE32FB01B5FCA,51
54AA5A30C3E6247,20
54AC69E46D2391A,58
54B819F07148235,33
54BAEB0B37A3619,6
54BD3DA1842A540,25
54BE31FCDB804CE,55
55047C0E73AE5A9,33
5505D054719555A,38
550B4C71B8E8730,3
55593FE41A413CC,32
554254F4DD1FF30,51
5544D72DA19D6D9,52
554C7F9D9D7239A,22
554DF831B8081D6,22
55512C3DD988662,47
5554C45FA448C07,34
555BCA8662ECA9C,52
5542338B5461A97,3
5569FD1287ECE5F,37
556AEC38E25CE2E,52
556D96822176219,10
556ECA85F170923,41
5574EAF42E35CA4,9
557673C20FF977B,25
554247E47EC1B87,30
553DE7DE520373A,29
55129CAAAC62A17,52
5524C7342764F71,2
55157DBA1C40897,31
5516ABF5E617E72,49
5519B47278D04CD,46
551BE397C96BA8C,44
55222F2AF66C5EB,45
5523554BEEE30D4,9
5528C786E06D0BF,33
553A1D7D406BBAA,52
552950AE586CDE0,18
5529B93F51E13E1,5
552B17B347A01C0,5
552C4EBDAF068EE,22
5537B8EB5A97E27,35
5539B3DC5212BC0,19
5489A7E71CDF265,52
54869C27384CC1E,8
548368202B35729,52
53C7DEB0889C9DE,17
53AD7741E400CD0,16
53BADB2932C858B,21
53BDA3E840A27DD,56
53BF0559A2E8DA1,50
53C3E9A69CDFFEF,40
53C6626622A5F9F,52
53C930F0514F24F,22
53A9DF3EDD9D864,43
53CC2791BFA450B,11
53D16004FC459F2,44
53D6690DC744B97,39
53D981B673FED19,4
53DFDC1EF68126E,43
53E9067EA0D40D2,21
53AB7F6BFB91A28,7
53A9A7D6934B598,52
53EEFD58450DA59,20
5396DF43CBDA6F5,24
5378BAE519BC6EF,51
537A39955BC5832,52
538148D787103B4,52
538B8C45B88A034,6
538D9AEC54E7B06,52
539687476B3CB45,28
5397397394538AC,49
53A4C6F442F3FF3,14
5399BAE5998E38C,10
539A5BD99F523A5,52
539BB051EFAA2EF,23
539E1F1BACBFCFC,50
53A1FBDD19E3AC0,52
53A3E1002F09A81,25
53E921BC477057E,32
53F119DBC4466C0,33
547E1117A5E3481,39
5457505D0FC9D70,43
54464D9EB2E0A29,47
5448754B37CC704,52
544DAAD4E7CBDDD,32
54506EC095656D4,42
54513D3705EA9B7,57
5452F591E75524F,46
546029948CED42A,39
54440FF6A29476B,49
5465AFE75989029,12
5466A22E36A16CB,0
546A9AEABC34F09,22
5475372E064D061,17
5476C5A438F9FB6,22
547B40CD378CA44,10
5445F2F3CF20473,46
54433E8A285387C,56
53F32DDF682317B,52
541A815284E3331,23
53F36FBDFD00FA9,34
53F4BB9E19CDEF2,18
53FA582E39B9B9A,52
54052D3D94EB107,17
5419003AE6B2442,29
541A2A3AABE9B38,38
5425E813457E7C6,52
543C47731840FD8,22
5429A427BE706A7,35
542D30E53F17D40,7
542F845FCC0F881,21
54303D9B1E766CE,35
543B494633B2E59,46
543C1768071A496,3
5576B1F64996FB6,38
55779A202F0FC3A,28
5375D18071C23AB,52
5579974D796F810,7
569C198AE3FB6F7,6
56A05EEC5EDDADB,52
56A33F674893F57,10
56A53FAEE011A12,6
56ADE05453180AB,52
56B78E8A30F2412,3
56BAF932CFE6168,21
56C361E8C6055E1,9
56C4F1BD0957902,24
56C742ACED74A69,25
56D14BCCDBD1C0D,34
56D1CF86512657A,32
56D2EFD3CFEF2B9,12
56D720267614120,23
56D733FD114692D,45
569A2E36BD4931B,36
569834D61A42C74,33
5694F0728BAE11F,43
567337571FFC056,24
5667F55BF084CB3,0
566814358EED718,3
566B1C47E97C189,52
566CBD8AD0D90B3,52
566D0E22D715600,51
566D16C02EAAFBC,14
567364C89C7BE6A,33
569117E8C50064F,39
567388C805BB6ED,13
5674FB2AD3F75EC,18
5677CED9524B050,2
5687074CDC84877,37
568CC4AC592A69F,48
568F977DF7B30CC,6
56DC35BFBACEDC8,33
56DF92923F8F94D,42
56E22569E0D3594,52
5748C3C9B9D8414,45
57247FA0ED456B7,52
5724F050C992FD5,47
573928B2D488F85,25
5742F107702E6BC,3
57437351E0408C7,3
57445668960A165,33
5749800734F53AA,52
571F318BFE1AE8A,53
574EE7A25C7D1DA,8
574F8C612B068B8,31
5750A25F24FCC2C,44
575293EC5A76E0D,25
575399D6BD59C26,3
576164AE41F114F,46
57234189B95905E,52
571DC293F86BF63,17
56E4A5448A76547,44
56FB0ABD77A2DB6,45
56EAEF26812AA98,45
56EB3F2818C7153,4
56EF7D656CFFBBC,30
56F38EB5E92DB71,26
56F41E06094C812,13
56F5B0BFBFC324A,49
56FC2421507B4E5,41
571D26AAD3185A4,32
56FCD510AA96A0C,24
570145A4927827A,32
570C5CBF0B8B3C5,30
570C9B039B9895B,33
5715B67012F84E4,46
571A6989D32F056,41
566562FC28983F1,41
565D332AE9FCDDE,29
565C42A1AF5819C,39
55E3007E60D2EF8,39
55CB5C06D03D0BF,52
55D26237E0EE44E,10
55D30A60593EE06,52
55D3517A18F37CB,33
55DC3803546FAFF,26
55DD101539C1A17,23
55E6157DCAAD41E,31
55C461386288827,3
55E81432C716062,44
55EDCF09CA43510,6
55F432922579A92,7
55F60FB05CB2F22,42
55FBCF4E3671FA2,51
55FE92ED9089F7B,47
55C846CD6134A99,40
55B548C376F4F95,34
56054FF20F16788,48
5597206F8BCEBEB,8
557BFBB5D275F98,6
55817D25060A566,52
5582657CF6ADCC1,3
5583E5E48CA7AE0,40
55858455EFD6280,8
558A1314A664D42,0
5597BFBDD848439,42
55AE0C0E36E5E51,52
5599B31FEFCC098,34
559A0FFB89B74CD,52
559ADCE766F43B3,46
55A075E5A60A54C,52
55A1C020754CC72,29
55A8E8BFDB883F7,58
5604FD064DAA1A0,3
560E9FD404665E6,36
565BE85AEE6DEF0,31
564792501F4F7A3,9
56372C0AB5A3D76,41
563AEED1ADE2B8B,3
563D6869D4E6F3B,41
563D9C2EB9A6B0B,18
5640EF2B5B2AA9F,55
56468337E6C1AF8,4
564B1427CC4EEEF,33
56357011AECACD3,11
564B1E9E0C754DE,38
5651E136B388CD3,42
56539453DC46BBB,3
5655A90E0D02A78,33
565AF7C953F18EA,52
565BB27618F6B07,12
56364308254AB6B,52
56350B773107B0C,38
560FDB52C3719F6,14
562511C83C4EC5C,52
561486AD3DF4E8C,55
5614AED3C82F196,2
561A2043C3D06DB,55
561C73D0FB3CE73,52
561C908564943D6,46
56206E8F39714A9,30
5629A7A69289810,34
5632A9B473924BD,26
562C9E21A689E03,18
562D1829704C889,44
562D47137061948,38
562E0FA0BB25BD9,52
5630664E47B3DF0,37
5630BE08E1D6C28,38
537762B92187A6F,10
53753B8F4891460,52
576BA3F74AEC6EC,33
51AA245A3C63F3B,21
50DA669709FB450,58
50DFA4B19964E43,47
50DFE4978CD31DD,52
50E12D43E6E0DCC,47
50E1B0FA55AE801,36
50E3270C5E8F283,5
50E6564F5C2CFC2,50
50E884F0B2E37EA,41
50EC645344521D5,27
50FEE08D1C2B76A,40
50FF8648110A421,25
51011F2F3F119C5,58
5110545CA209B4D,48
5111FE078ACB305,46
511B0A8721CEF63,17
50D6D0CA54CE7DF,9
50D6B0FE80348F3,47
50D17FBC681415A,36
50B8EA1AF22A92E,30
50AD27568640A44,19
50AD8243FDF65D0,0
50B0D85C53724D4,10
50B37B2F5D5E10C,26
50B455E9AA72CDD,25
50B758E30BC5295,52
50B9DCE58CA4495,0
50CE21F7BF1A9B1,6
50BA79C04DAD612,8
50BD0A50C969753,8
50C0850B51A44B4,23
50C1CFEEA711A3E,22
50C8FE06CBDFF10,28
50CC30DD9B3C4D0,28
511D9C5AAA6173C,15
511FA2B3EE42B48,16
512041D0C088251,56
5187D18D25953F0,0
5177D276ABA0758,28
51799A349E488D2,18
517BFE0C7AC207C,20
517E6D6293A3617,5
51838F374808853,49
51847C4A801ED0B,23
51897E8A0B006C2,52
5173D5B989BD7DE,9
5189B34BD3D7D02,30
518FA391C3BBB6B,0
51911EB6BC3B1CA,51
519A13BAF4F75DD,40
519A37305538FDF,52
51A6295361391B9,54
5175B1ABA42DBAF,44
5167DC16397DC19,15
51230F6706F1969,32
513446EC9D3BEA1,33
5123194A3D6B032,52
5125D8E6726DAC8,3
51269DEE32B415F,33
5127D261106C442,44
512BBA956413519,52
512F7BF0E2EBA47,46
513E4BCB509C181,3
516615BE7469BE0,26
5143AEE08A5537F,30
514AC0F6E1EAA03,59
514FE4FB09DBD14,26
5156B866BBE80A6,28
515DD85906664C4,52
51622366807B89B,19
50A6A7362F89754,35
50A66D6D1670BFB,4
50A4549F1E6644D,36
5021B408FB640EB,33
500CE9DDF6D02C2,21
500DBB38084BC80,5
501127C2ABCE600,49
501215094F3E4BE,38
50173880DE27892,1
501E5B42300D5BE,25
5023562B9531CE8,45
500A351C932D2EB,57
50243656D894E4E,43
5026B1F9D4F1380,22
502800C84CA9B39,18
502B4E36DB0D3AC,43
5030C3358A192B7,55
50367E81FBA5C79,52
500B32D4EACA5B6,47
5009E6D8E7ACD02,47
503A41908CBD64D,24
4FF48853E394679,56
4FDCCD09A0B6094,24
4FE20CF91EA3841,54
4FE433DEDDE17C9,38
4FE526AB5FA066A,26
4FE7AF8E0A015E7,59
4FE8F1ED1E4B8F0,56
4FF52320AD589C7,52
500606FF39FA7DF,43
4FF76E8AF71FA35,4
4FF7CDF94307026,33
4FFA2229D1BB263,21
4FFBB80E62B56A9,5
