author_id,cluster
FCC177FCC66C7BF,6
FCC135E0EED69AF,0
FCB712AF3A72A9E,3
FCB67F8EF840441,3
FCB4EBCA429F9A0,5
FCB12ACA3675C9D,3
FCAFCC9369D25CA,1
FCA8FA3D74DCE11,3
FCA52D4A4307111,3
FCA1E5F4794AE52,3
FCA152616A5DFC8,5
FC9FCD96755D2B6,1
FC9F935D1A168C3,3
FC94F292295CD00,6
FC8E21B00DB18BE,1
FC82129259A33C7,1
FC818EF5CA129BA,2
FC81490CCC753ED,1
FC806856DF7DAAC,0
FC7BCF0CB8D74C9,3
FC70A7EB0EBC92A,2
FC6DC294A12884B,0
FC6DC008F61CBB8,3
FC6C4B9243D3971,1
FC698FD132E64D9,2
FC67B58214C03AC,6
FC64F28C50A5C60,3
FC6053F5FCB7669,2
FC5FE9F44B690C7,3
FC5B0E5C7C6F843,5
FC5863D33098309,3
FC57812DA7F4D71,4
FC56774DCA3781C,0
FC506AD28FEA558,2
FC4FC9EAC68F9F8,0
FC4E978FC7CE28A,1
FC4E29037FC2D56,5
FC47C833C4A3F2E,1
FC45DCD6D72B8E0,3
FC42CAD1A87735C,3
FC40EF5AEDF94A6,3
FC3FE38019E5AB8,4
FC3F758711CDF78,5
FC3F22601DF874F,3
FC395D006A1926B,3
FC3915F3C71C963,1
FC35558E649FA9E,6
FC354A2578C089A,6
FC2CC8CCEC37AA5,0
FC28DF79DFF7657,3
FC1FB103B94628E,0
FC1F6396200CC22,5
FC16F7456E51A7B,3
FC10D1CA12A417A,0
FC0FF02B70F96B1,5
FC0B238A7321FF0,3
FC0AC3BF59677E0,3
FC089489555AEE7,0
FC057A541FDFCB2,5
FC00DB03DDBDCF8,0
FC00A1AD5B1072C,4
FBFEAA99C2DE304,0
FBFD857FA84C44D,3
FBF97591473C0BF,3
FBF8AAC17FDBF09,3
FBF6F9FE9394AB4,0
FBF63A44B35AB33,2
FBE9E920FB3236F,3
FBE8B66DBF6F6CF,5
FBE6978A097C0AA,2
FBE31F561E547CD,3
FBE27BA9E72B70F,3
FBDF4047AAD186F,0
FBDCE8FDF862298,2
FBD881B04E2A13F,5
FBD34E4116612DD,5
FBCA870B2CE9F90,3
FBC377613FA75BA,2
FBC1F6ED230159B,0
FBC0C3EC0CE5A16,3
FBBEE2C30586F26,0
FBBA21733DDE445,2
FBAE85DD839CBE6,3
FBAAA50838961CA,5
FBA38E687D91D9B,5
