author_id,cluster
542D30E53F17D40,45
542DCB4222A8EA7,53
542F845FCC0F881,29
54303D9B1E766CE,23
54356DF5741338F,30
5435D153C2179EA,2
543B494633B2E59,54
543C1768071A496,30
543C47731840FD8,49
543EED79C7A2013,47
5440AA7A890E0CB,53
55793E46179CF4D,1
5579974D796F810,34
557BFBB5D275F98,39
566562FC28983F1,33
56AB681454B48F3,38
56ADE05453180AB,29
56B78E8A30F2412,30
56B9BAEE3F28161,20
56BAF3EED715EB8,14
56BAF932CFE6168,30
56BD7344D789C89,3
56BE07B6FD1627F,24
56C051C2EEA3821,15
56C361E8C6055E1,12
56C4F1BD0957902,20
56C7329BA246622,52
56C742ACED74A69,3
56D09FD5FFBF76D,45
56D0BDC1DEFD1F7,29
56D14BCCDBD1C0D,58
56D1CF86512657A,31
56D2C83D6892A25,6
56D2EFD3CFEF2B9,16
56D3D091731487D,49
56D5F7E72E7448D,5
56D71AD8B14B7DB,15
56D720267614120,11
56D733FD114692D,52
56DC35BFBACEDC8,6
56DDCB7A00F6157,43
56DF92923F8F94D,53
56E22569E0D3594,6
56E401270FE3E02,30
56A53FAEE011A12,23
56A33F674893F57,45
56A2CED037C6785,20
56775347734A14E,43
566690095245881,6
5667F55BF084CB3,17
566814358EED718,45
566B1C47E97C189,29
566B1EE377A0C02,28
566CBD8AD0D90B3,29
566D0E22D715600,59
566D16C02EAAFBC,27
567337571FFC056,9
567364C89C7BE6A,53
567388C805BB6ED,18
56745A68C1E1E61,15
5674FB2AD3F75EC,49
5677CED9524B050,50
56A05EEC5EDDADB,6
567F8E7CFDA4EC6,37
568030DCE611E60,46
5687074CDC84877,28
568CC4AC592A69F,40
568DCD42B3C691B,35
568F977DF7B30CC,23
569117E8C50064F,2
5694F0728BAE11F,17
569834D61A42C74,53
569A2E36BD4931B,54
569C198AE3FB6F7,23
569C9C4454FA6F6,1
569F747534449C5,49
56E4A5448A76547,9
56E73F4B0311E9D,58
56E8CA762137E71,55
574F8C612B068B8,54
573928B2D488F85,3
573B59340BACE13,13
5742F107702E6BC,30
57437351E0408C7,30
57445668960A165,53
57447A5303F6837,36
5746DC526328183,45
57480D23C78ECF8,14
5748C3C9B9D8414,52
574911263729CC3,43
5749800734F53AA,4
574D41E0CEC413E,30
574EE7A25C7D1DA,48
5750A25F24FCC2C,32
5736A103406FB48,1
575293EC5A76E0D,3
5753677BE6ABFCB,16
575399D6BD59C26,6
5755B4F2119B807,53
575D3CF18D19DEC,49
575DEA2CBC278CC,51
576164AE41F114F,12
57632D308CAA267,10
576699CFE1F8580,29
57693D072F6E72B,21
576A58F0C813833,48
576AD7E6B375B53,3
576BA3F74AEC6EC,53
5738AF6407D4C0D,51
572F696D9533C35,18
56EAEF26812AA98,52
570C5CBF0B8B3C5,51
56EB3F2818C7153,13
56EF7D656CFFBBC,51
56F38EB5E92DB71,24
56F41E06094C812,18
56F476C81617EC8,14
56F5B0BFBFC324A,41
56FB0ABD77A2DB6,52
56FBAA78BF6F636,41
56FC2421507B4E5,10
56FCD510AA96A0C,15
570145A4927827A,31
5709E7A4D425A2C,45
570A3DBF949AD4A,14
570C9B039B9895B,53
572D415D68E2E4E,21
570D7127C7C97D6,12
5715B67012F84E4,12
5719B8EDDB00598,17
571A6989D32F056,10
571C7D714E1F3E0,3
571D26AAD3185A4,31
571D6EF788F1407,15
571DC293F86BF63,28
571F318BFE1AE8A,47
572114CC4547D45,15
57234189B95905E,29
57247FA0ED456B7,6
5724F050C992FD5,14
566604A88849369,23
565DB6CE7C2CCC4,1
557CBD513683EFB,42
565D332AE9FCDDE,27
55C34332BC81BC7,21
55C461386288827,30
55C7675D804E8C6,17
55C846CD6134A99,38
55CA03DAFB47343,17
55CB21D31DD9B3C,15
55CB5C06D03D0BF,46
55CFA934279208A,17
55D03547AA719CE,54
55D073736DFBC3B,15
55D26237E0EE44E,45
55D2E8ED8C0B8BB,30
55D30A60593EE06,29
55D3517A18F37CB,53
55D6C096F5FD856,26
55D98EDE950E4E9,16
55D9EA52BF157F3,1
55DB8FB007A4D2E,12
55DC3803546FAFF,24
55DC8DD3BBF782C,20
55DD101539C1A17,9
55DDB35293317EB,5
55E1C0CD5A43B28,2
55E3007E60D2EF8,2
55E6157DCAAD41E,0
55E7238A823B4F3,51
55E81432C716062,51
55E980E93B29BA2,16
55EDCF09CA43510,22
55C23796A859267,2
55C0BF385953B74,20
55BF83C1D19620E,29
559A0FFB89B74CD,29
557DF478E3926DC,43
558157A02E8030E,58
55817D25060A566,45
5582657CF6ADCC1,30
5583E5E48CA7AE0,38
55857206DE25C73,3
55858455EFD6280,16
558A1314A664D42,47
558B30ECF2D632C,25
5597206F8BCEBEB,15
5597BFBDD848439,27
5598BF397C5613E,46
5599B31FEFCC098,58
559ADCE766F43B3,54
55BDA55D34855B0,38
55A075E5A60A54C,29
55A1C020754CC72,0
55A1ECD74A02CFA,29
55A42C0B6101088,53
55A7B7CF4D9FE83,18
55A884E67A57466,30
55A8E8BFDB883F7,39
55AACB28D3F51A4,12
55AE0C0E36E5E51,29
55B548C376F4F95,58
55B8DE53067EFC2,7
55BBF98F969C950,29
55BC2C12E760953,2
55F20B5CA6A3A87,28
55F432922579A92,45
55F60FB05CB2F22,59
564A5B1BA4D0D7A,45
5633E6D7F6731B3,50
56350B773107B0C,37
563549567A0EA24,15
56357011AECACD3,18
56364308254AB6B,29
56368E964115013,20
56372C0AB5A3D76,10
563AEED1ADE2B8B,30
563D6869D4E6F3B,10
563D9C2EB9A6B0B,21
5640EF2B5B2AA9F,55
56468337E6C1AF8,13
564792501F4F7A3,14
564B1427CC4EEEF,29
5632A9B473924BD,24
564B1E9E0C754DE,37
5651E136B388CD3,37
56539453DC46BBB,30
56549CD0680C892,53
5655A90E0D02A78,53
5655FDEDA20FC7B,32
56591285680D845,47
5659146C18EC63A,47
565AE72034093C7,34
565AF7C953F18EA,46
565BB27618F6B07,52
565BE85AEE6DEF0,14
565C42A1AF5819C,45
563351387CC1E43,53
5630BE08E1D6C28,37
55FBCF4E3671FA2,14
560FDB52C3719F6,26
55FC6645C4E0332,50
55FCA61FE7F70F5,22
55FD6C1A8EC9743,35
55FE92ED9089F7B,24
55FEE831D248451,31
5603B5B32A27B81,50
5603E5E9507A37A,8
5604A93D47689A5,29
5604FD064DAA1A0,30
56054FF20F16788,40
560B80678F5A37C,3
560D8386610F25F,29
560E9FD404665E6,40
561486AD3DF4E8C,32
5630664E47B3DF0,29
5614AED3C82F196,2
561A2043C3D06DB,21
561C73D0FB3CE73,6
561C908564943D6,12
56206E8F39714A9,23
5620869E26A2AD5,20
562511C83C4EC5C,6
5629A7A69289810,58
562C9E21A689E03,21
562CCCEC99AEB71,37
562D1829704C889,51
562D47137061948,37
562E0FA0BB25BD9,29
5396DF43CBDA6F5,33
5396ACBC3D17DEF,15
539687476B3CB45,1
509E5BE8700107D,1
50CE21F7BF1A9B1,29
50CE38DE17F5360,53
50CE409DACA05E9,24
50D17FBC681415A,30
50D5CFC752DCD69,29
50D6B0FE80348F3,14
50D6D0CA54CE7DF,47
50D8EBA2AA2C57A,56
50DA669709FB450,7
50DFA4B19964E43,14
50DFE4978CD31DD,46
50E12D43E6E0DCC,14
50E1B0FA55AE801,52
50E3270C5E8F283,43
50E6564F5C2CFC2,19
50E7DC6C6B596F3,23
50E884F0B2E37EA,2
50EC55095A9013B,56
50EC645344521D5,18
50EC98ACC59F3F0,18
50F0A9BB4818D27,49
50F164E0555FEB7,22
50F8AE0E2684044,53
50FD117827A59C6,39
50FEE08D1C2B76A,38
50FF8648110A421,3
51002F598535D68,2
51011F2F3F119C5,39
51044CE95651703,51
50CD15CA3DFEE7C,2
50CC30DD9B3C4D0,56
50CB40DBC4B6712,29
50B455E9AA72CDD,3
509F48015656E86,21
50A04DEDF557475,11
50A0CD33F6D152C,18
50A14C96FE9FA38,8
50A29C2AF899D89,49
50A4549F1E6644D,2
50A66D6D1670BFB,13
50A6A7362F89754,22
50AC81545831198,17
50AD27568640A44,34
50AD8243FDF65D0,54
50B0D85C53724D4,20
50B37B2F5D5E10C,24
50B52E272337876,13
50C8FE06CBDFF10,1
50B758E30BC5295,29
50B8EA1AF22A92E,2
50B922A26F009CF,26
50B9DCE58CA4495,49
50B9F6BD1DF0C51,1
50BA79C04DAD612,48
50BD0A50C969753,48
50C00A46FF6D1A4,29
50C0850B51A44B4,11
50C1CFEEA711A3E,36
50C5F529604A616,46
50C746C43806CC7,10
50C8E289E3F2011,1
5110545CA209B4D,40
5111FE078ACB305,12
511B0A8721CEF63,21
51804F97D450500,3
516615BE7469BE0,24
5166B40152BC32F,47
5167DC16397DC19,29
5171D4DA28A59C2,57
5173414F23C96B7,46
5173D5B989BD7DE,31
5175B1ABA42DBAF,51
5177D276ABA0758,37
51788160E9EA202,14
51799A349E488D2,21
517BFE0C7AC207C,33
517DAC7B73341C3,45
517E6D6293A3617,57
51817C5576D604C,1
515DD85906664C4,6
51838F374808853,41
51847C4A801ED0B,9
51878E5EE1C1285,18
5187D18D25953F0,46
51897E8A0B006C2,29
5189B34BD3D7D02,7
518CF50D58630DE,6
518FA391C3BBB6B,47
51911EB6BC3B1CA,51
5192C2218909E5D,27
5194C34D71BB6FF,1
51985205653BBEA,24
519A13BAF4F75DD,38
51622366807B89B,34
5158C51C555EA52,50
511C748C734DC0C,26
512DDA0E0F728AA,24
511D9C5AAA6173C,13
511E1A291E11E7B,45
511FA2B3EE42B48,41
512041D0C088251,59
51206FE443CC08F,35
51230F6706F1969,31
